Date 	Day	Time	Pred	High/Low
2/1/2017	Wed	1:32 AM	4.55	H
2/1/2017	Wed	7:16 AM	1.9	L
2/1/2017	Wed	1:00 PM	4.27	H
2/1/2017	Wed	7:25 PM	0.6	L
2/2/2017	Thu	2:15 AM	4.75	H
2/2/2017	Thu	8:28 AM	1.65	L
2/2/2017	Thu	2:10 PM	3.74	H
2/2/2017	Thu	8:09 PM	1.09	L
2/3/2017	Fri	3:03 AM	4.96	H
2/3/2017	Fri	9:48 AM	1.27	L
2/3/2017	Fri	3:39 PM	3.32	H
2/3/2017	Fri	9:01 PM	1.57	L
2/4/2017	Sat	3:56 AM	5.19	H
2/4/2017	Sat	11:06 AM	0.76	L
2/4/2017	Sat	5:18 PM	3.18	H
2/4/2017	Sat	10:03 PM	1.98	L
2/5/2017	Sun	4:53 AM	5.44	H
2/5/2017	Sun	12:15 PM	0.18	L
2/5/2017	Sun	6:47 PM	3.31	H
2/5/2017	Sun	11:12 PM	2.23	L
2/6/2017	Mon	5:50 AM	5.68	H
2/6/2017	Mon	1:13 PM	-0.35	L
2/6/2017	Mon	7:55 PM	3.56	H
2/7/2017	Tue	12:20 AM	2.31	L
2/7/2017	Tue	6:46 AM	5.89	H
2/7/2017	Tue	2:04 PM	-0.75	L
2/7/2017	Tue	8:48 PM	3.83	H
2/8/2017	Wed	1:22 AM	2.25	L
2/8/2017	Wed	7:39 AM	6.04	H
2/8/2017	Wed	2:51 PM	-0.99	L
2/8/2017	Wed	9:33 PM	4.07	H
2/9/2017	Thu	2:17 AM	2.11	L
2/9/2017	Thu	8:29 AM	6.07	H
2/9/2017	Thu	3:34 PM	-1.05	L
2/9/2017	Thu	10:13 PM	4.27	H
2/10/2017	Fri	3:09 AM	1.95	L
2/10/2017	Fri	9:16 AM	5.97	H
2/10/2017	Fri	4:14 PM	-0.95	L
2/10/2017	Fri	10:52 PM	4.41	H
2/11/2017	Sat	3:58 AM	1.81	L
2/11/2017	Sat	10:02 AM	5.74	H
2/11/2017	Sat	4:53 PM	-0.69	L
2/11/2017	Sat	11:29 PM	4.5	H
2/12/2017	Sun	4:46 AM	1.72	L
2/12/2017	Sun	10:47 AM	5.37	H
2/12/2017	Sun	5:29 PM	-0.32	L
2/13/2017	Mon	12:05 AM	4.55	H
2/13/2017	Mon	5:35 AM	1.67	L
2/13/2017	Mon	11:32 AM	4.91	H
2/13/2017	Mon	6:05 PM	0.15	L
2/14/2017	Tue	12:42 AM	4.55	H
2/14/2017	Tue	6:27 AM	1.66	L
2/14/2017	Tue	12:19 PM	4.39	H
2/14/2017	Tue	6:40 PM	0.66	L
2/15/2017	Wed	1:20 AM	4.53	H
2/15/2017	Wed	7:23 AM	1.65	L
2/15/2017	Wed	1:12 PM	3.85	H
2/15/2017	Wed	7:16 PM	1.18	L
2/16/2017	Thu	2:00 AM	4.48	H
2/16/2017	Thu	8:27 AM	1.61	L
2/16/2017	Thu	2:16 PM	3.36	H
2/16/2017	Thu	7:54 PM	1.68	L
2/17/2017	Fri	2:43 AM	4.45	H
2/17/2017	Fri	9:41 AM	1.49	L
2/17/2017	Fri	3:41 PM	3.02	H
2/17/2017	Fri	8:38 PM	2.12	L
2/18/2017	Sat	3:32 AM	4.44	H
2/18/2017	Sat	10:56 AM	1.26	L
2/18/2017	Sat	5:26 PM	2.93	H
2/18/2017	Sat	9:35 PM	2.46	L
2/19/2017	Sun	4:27 AM	4.49	H
2/19/2017	Sun	12:02 PM	0.94	L
2/19/2017	Sun	6:54 PM	3.06	H
2/19/2017	Sun	10:46 PM	2.65	L
2/20/2017	Mon	5:22 AM	4.6	H
2/20/2017	Mon	12:55 PM	0.6	L
2/20/2017	Mon	7:51 PM	3.26	H
2/20/2017	Mon	11:53 PM	2.69	L
2/21/2017	Tue	6:13 AM	4.78	H
2/21/2017	Tue	1:38 PM	0.27	L
2/21/2017	Tue	8:30 PM	3.46	H
2/22/2017	Wed	12:48 AM	2.6	L
2/22/2017	Wed	6:59 AM	4.98	H
2/22/2017	Wed	2:15 PM	-0.01	L
2/22/2017	Wed	9:01 PM	3.65	H
2/23/2017	Thu	1:34 AM	2.43	L
2/23/2017	Thu	7:42 AM	5.18	H
2/23/2017	Thu	2:49 PM	-0.23	L
2/23/2017	Thu	9:30 PM	3.84	H
2/24/2017	Fri	2:16 AM	2.21	L
2/24/2017	Fri	8:22 AM	5.35	H
2/24/2017	Fri	3:22 PM	-0.38	L
2/24/2017	Fri	9:58 PM	4.03	H
2/25/2017	Sat	2:57 AM	1.96	L
2/25/2017	Sat	9:02 AM	5.43	H
2/25/2017	Sat	3:54 PM	-0.42	L
2/25/2017	Sat	10:26 PM	4.23	H
2/26/2017	Sun	3:38 AM	1.7	L
2/26/2017	Sun	9:44 AM	5.41	H
2/26/2017	Sun	4:27 PM	-0.35	L
2/26/2017	Sun	10:56 PM	4.43	H
2/27/2017	Mon	4:22 AM	1.45	L
2/27/2017	Mon	10:27 AM	5.25	H
2/27/2017	Mon	5:00 PM	-0.15	L
2/27/2017	Mon	11:29 PM	4.63	H
2/28/2017	Tue	5:10 AM	1.21	L
2/28/2017	Tue	11:14 AM	4.94	H
2/28/2017	Tue	5:35 PM	0.18	L
