key,value,time
1,126.9,2
1,133.45,3
1,132.7,4
1,121,5
1,106.575,6
1,105.06,7
1,109.4,8
1,113.26,9
1,111.05,10
1,109.375,11
1,112.14,12
2,109.7,1
2,108.85,2
2,110.1,3
2,106.48,4
2,101.025,5
2,101.025,6
2,101.54,7
2,106.75,8
2,112.22,9
2,115,10
2,113.125,11
2,112.08,12
3,112,1
3,111.525,2
3,110.5,3
3,107.15,4
3,105.925,5
3,105.1,6
3,105.74,7
3,108.25,8
3,110.4,9
3,109.275,10
3,107.175,11
3,106.02,12
4,105.875,1
4,108.975,2
4,106.2,3
4,100.96,4
4,100,5
4,100.9,6
4,100.84,7
4,103.45,8
4,105.24,9
4,108.6,10
4,111.4,11
4,116,12
5,113.475,1
5,111.2,2
5,111,3
5,106.04,4
5,106.7,5
5,105.8,6
5,106.28,7
5,111.95,8
5,118.3,9
5,117.975,10
5,114.275,11
5,111.82,12
6,110.475,1
6,107.7,2
6,105.8,3
6,106.78,4
6,108.525,5
6,108.15,6
6,113.78,7
6,123.225,8
6,126.04,9
6,123.425,10
6,121.4,11
6,119.76,12
7,120.15,1
7,120.4,2
7,123.6,3
7,123.125,4
7,123.075,5
7,122.35,6
7,119.7,7
7,118.8,8
7,119.38,9
7,118.425,10
7,116.7,11
7,121.62,12
8,121.225,1
8,118.2,2
8,115.825,3
8,111.86,4
8,107.475,5
8,104.15,6
8,101.44,7
8,102.35,8
8,104.88,9
8,104.8,10
8,103.925,11
8,101.08,12
9,99.4,1
9,100.6,2
9,98.575,3
9,92.9,4
9,91.675,5
9,89.975,6
9,96.06,7
9,109.9,8
9,110.34,9
9,109.5,10
9,113.825,11
9,119.9,12
10,123.925,1
10,123.025,2
10,123.45,3
10,126.1,4
10,127.175,5
10,134.4,6
10,148.12,7
10,143.65,8
10,145.64,9
10,161.175,10
10,154.925,11
10,144.08,12
11,152.525,1
11,150.475,2
11,150.04,3
11,141.825,4
11,142.275,5
11,144.025,6
11,138.92,7
11,150.025,8
11,164,9
11,154.75,10
11,134.55,11
11,137.28,12
12,150.625,1
12,129.4,2
12,116.25,3
12,107.22,4
12,109.775,5
12,108.825,6
12,119.38,7
12,136.4,8
12,135.32,9
12,134.05,10
12,136.1,11
12,136.16,12
13,135.8,1
13,141.65,2
13,140.75,3
13,133.22,4
13,141.85,5
13,153.7,6
13,164.4,7
13,153.975,8
13,144.74,9
13,145.375,10
13,146.9,11
13,156.82,12
14,163.925,1
14,151.925,2
14,147.9,3
14,145.3,4
14,151.725,5
14,160.525,6
